"USER","site","sensor","id","user_id","site_id","sensor_id","last_hit_received_ts","num_hits_last_hour","last_s3_file_written_ts","last_s3_file_name","last_s3_file_status","created_at","updated_at","ts"
"stark","stark_industries","stark-yoyodyne_tabletop",21623,750070513,584828890,562522538,1306126870,18847,1306058490,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47884/2011/05/22/stark-yoyodyne_tabletop_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"stark","stark_industries","stark-sf_stark2_first_floor",21644,750070513,584828890,1063375177,1306126864,7401,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"stark","stark_industries","stark-diablo_patio",21630,750070513,584828890,707696713,1306126875,20875,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47cac/2011/05/22/stark-diablo_patio_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"yoyodyne","yoyodyne","main_st_lightpost_1_west",21641,497772730,497772730,997624916,0,0,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"halo_corp","halo_corp","lab",21618,570488950,570488950,224943336,0,0,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"amertek","amertek","store3_store",21638,282818199,282818199,874831901,1306126865,7895,0,"na",0,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"neiman_marcus","neiman_marcus","accton",21627,523231259,523231259,609147324,0,0,0,"na",0,"2011-05-23 05:01:17","2011-05-23 05:01:16",1306126875
"yoyodyne","yoyodyne","lab_kiosk",21634,497772730,497772730,766354529,1306126875,211998,1306058493,"euclid-hit-collector-archives-hits/yoyodyne/d85d4ca476af/2011/05/22/lab_kiosk_20110522_0000_0030_hit_archive_1306058493.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"stark","stark_industries","stark-sf_first_floor",21625,750070513,584828890,567029483,1306126875,32785,1306058491,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca47e19/2011/05/22/stark-sf_first_floor_20110522_0000_0030_hit_archive_1306058491.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"yoyodyne","yoyodyne","main_st_lightpost_1_east",21615,497772730,497772730,107985819,0,0,0,"na",0,"2011-05-23 05:01:15","2011-05-23 05:01:15",1306126875
"euclid_dev","harrison_metal","conference_room",21635,35068142,509866921,849978914,1306126875,171433,1306058494,"euclid-hit-collector-archives-hits/harrison_metal/940c6dbc018a/2011/05/22/conference_room_20110522_0000_0030_hit_archive_1306058494.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"ryan","ryan","home",21643,767488622,767488622,1035953223,1306126875,55937,1306058496,"euclid-hit-collector-archives-hits/ryan/0012cfa45209/2011/05/22/home_20110522_0000_0030_hit_archive_1306058495.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"stark","stark_industries","stark-sf_stark2_second_floor",21632,750070513,584828890,745764876,1306126875,23843,1306058492,"euclid-hit-collector-archives-hits/stark_industries/d85d4ca48200/2011/05/22/stark-sf_stark2_second_floor_20110522_0000_0030_hit_archive_1306058492.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
"acme","acme","acme-sf",21622,540414742,540414742,464475916,1306126875,75643,1306058494,"euclid-hit-collector-archives-hits/acme/0012cfa46906/2011/05/22/acme-sf_20110522_0000_0030_hit_archive_1306058490.json.gz",1,"2011-05-23 05:01:16","2011-05-23 05:01:16",1306126875
